COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTRY,COUNTRY_CODE,STATE_PROVINCE,SUBNATIONAL1_CODE,COUNTY,SUBNATIONAL2_CODE,BCR CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,ALL SPECIES REPORTED
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1333413,P,47.573486,-122.398811,11/25/11,12:00:00,obsr289606,S9296142,,,1,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1333411,P,47.492252,-122.192986,11/23/11,12:00:00,obsr289606,S9296140,,,1,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1333557,P,47.698208,-122.319313,11/28/11,12:00:00,obsr289606,S9296284,,,1,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L835042,H,47.6684798,-122.3506165,12/21/11,14:00:00,obsr202620,S11049284,120,1.609,1,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L128138,H,47.6301994,-122.3135986,12/2/11,7:00:00,obsr289215,S9245779,60,,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1408969,P,47.6692079,-122.3505336,12/21/11,10:00:00,obsr298129,S9790507,30,0.402,1,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,,L128530,H,47.663868,-122.4215317,11/18/12,10:00:00,obsr202620,S12069873,300,9.656,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1820669,P,47.663615,-122.354835,11/27/12,16:30:00,obsr95541,S12174208,,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L856218,P,47.6450799,-122.3182583,11/11/12,10:00:00,obsr208083,S12015863,,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1805698,P,47.6195619,-122.3183003,11/12/12,19:50:00,obsr228117,S12040613,,,3,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1805746,P,47.6197138,-122.3109457,11/14/12,10:00:00,obsr218595,S12041010,,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1806382,P,47.6228521,-122.3106145,11/14/12,16:00:00,obsr107483,S12045329,30,0.805,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1805089,P,47.6196265,-122.3183392,11/13/12,10:25:00,obsr202620,S12034255,,,2,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1806179,P,47.7279254,-122.2897764,11/14/12,14:45:00,obsr322692,S12043910,,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L128138,H,47.6301994,-122.3135986,12/8/12,10:45:00,obsr97255,S12250336,25,0.402,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L128138,H,47.6301994,-122.3135986,12/8/12,11:00:00,obsr330265,S12248448,,,100,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1836984,P,47.6842748,-122.4003617,12/14/12,16:00:00,obsr291158,S12296850,600,,1,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1850263,P,47.681841,-122.4002472,12/13/12,12:01:00,obsr330265,S12286697,270,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1834947,P,47.6808225,-122.399936,12/12/12,14:30:00,obsr347608,S12282572,75,,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1837302,P,47.6816761,-122.4001782,12/15/12,15:30:00,obsr107483,S12297580,10,0.161,3,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1875975,P,47.6833145,-122.4004188,12/31/12,14:00:00,obsr200488,S12544891,,,10,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1850263,P,47.681841,-122.4002472,12/16/12,11:00:00,obsr330265,S12307961,60,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1836593,P,47.6816388,-122.3990885,12/15/12,8:40:00,obsr292809,S12294419,10,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1839222,P,47.6829534,-122.3997322,12/16/12,12:00:00,obsr181470,S12305942,20,,4,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1835107,P,47.6801055,-122.4004953,12/13/12,8:55:00,obsr169860,S12283587,15,,1,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1835575,P,47.6800207,-122.4007836,12/27/12,15:00:00,obsr330265,S12938303,,,,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L285366,H,47.6928546,-122.4054806,12/18/12,9:00:00,obsr357237,S12862547,240,3.219,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1838915,P,47.68317,-122.4001184,12/16/12,9:00:00,obsr97255,S12304377,40,4.828,2,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1840265,P,47.6815188,-122.3998965,12/14/12,10:00:00,obsr140028,S12311629,60,0.805,1,0
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1836933,P,47.6828303,-122.3995033,12/14/12,14:00:00,obsr183929,S12296628,,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1838433,P,47.6816317,-122.3990621,12/15/12,11:00:00,obsr169860,S12301718,10,,4,0
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1835575,P,47.6800207,-122.4007836,12/30/12,15:00:00,obsr330265,S12938320,,,,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1845311,P,47.6824438,-122.4010097,12/21/12,16:20:00,obsr309621,S12344196,,,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1842198,P,47.6809427,-122.40039,12/18/12,16:30:00,obsr40103,S12322897,,,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1839503,P,47.6829967,-122.4000755,12/16/12,12:30:00,obsr296388,S12313124,15,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1847323,P,47.6823693,-122.3953147,12/23/12,11:30:00,obsr203740,S12356655,60,,2,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L2173188,P,47.6823788,-122.3996687,12/28/12,11:00:00,obsr287392,S14120070,30,,1,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1850048,P,47.6827743,-122.3994595,12/26/12,13:30:00,obsr342691,S12374231,10,,1,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1847512,P,47.6849021,-122.3925358,12/23/12,,obsr29608,S12357949,,,,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L3765353,P,47.6801652,-122.4004197,12/26/12,15:00:00,obsr30851,S24129956,30,0.805,1,0
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1850263,P,47.681841,-122.4002472,12/25/12,13:20:00,obsr330265,S12369423,70,0.483,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1839503,P,47.6829967,-122.4000755,12/27/12,15:45:00,obsr296388,S12393833,90,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1853063,P,47.6812449,-122.401125,12/27/12,,obsr100831,S12394817,,,5,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1850055,P,47.6798474,-122.4000755,12/26/12,13:45:00,obsr342691,S12374265,10,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,12/27/12,,obsr339747,S25246429,,,1,0
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1858082,P,47.682211,-122.3998118,12/30/12,13:00:00,obsr206390,S12424969,30,0.805,4,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1855265,P,47.682471,-122.400562,12/29/12,12:00:00,obsr196731,S12408673,,,1,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1858082,P,47.682211,-122.3998118,12/30/12,13:00:00,obsr208238,S12425288,30,0.805,4,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855547,P,47.6831858,-122.4006202,12/29/12,12:05:00,obsr349744,S12419770,45,0.161,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L285366,H,47.6928546,-122.4054806,12/4/12,15:30:00,obsr171915,S12226255,90,0.322,2,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1856397,P,47.683475,-122.400666,12/29/12,10:30:00,obsr294633,S12414412,20,0.322,1,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,12/29/12,11:10:00,obsr133016,S12412338,20,0.322,2,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1832556,P,47.6809309,-122.4010626,12/10/12,13:15:00,obsr287974,S12265370,10,0.161,2,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1857247,P,47.6833073,-122.40051,12/29/12,12:05:00,obsr291283,S12419942,45,0.161,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1862113,P,47.731591,-122.355518,12/12/12,14:45:00,obsr239469,S12524987,60,,1,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1858438,P,47.6837289,-122.4007806,12/30/12,12:52:00,obsr124466,S12427611,10,,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1833379,P,47.6817977,-122.3989919,12/11/12,10:15:00,obsr222766,S12271559,,,1,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1835444,P,47.6801798,-122.4010172,12/13/12,16:00:00,obsr324596,S12285561,30,0,2,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1869482,P,47.6818266,-122.4006763,12/23/12,14:30:00,obsr303875,S12507272,90,0.805,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,12/31/12,7:00:00,obsr22459,S17207780,285,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,12/31/12,7:00:00,obsr50136,S17365770,285,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1888607,P,47.6832032,-122.400632,1/3/13,1:30:00,obsr59835,S12624103,30,,1,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1891202,P,47.6830771,-122.4002051,1/3/13,12:00:00,obsr336759,S12645115,30,,4,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1838915,P,47.68317,-122.4001184,1/18/13,13:50:00,obsr97255,S12646506,120,,2,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L285366,H,47.6928546,-122.4054806,1/4/13,10:00:00,obsr291360,S13215435,240,24.14,3,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/13/13,14:15:00,obsr639651,S24321878,,,2,0
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1861157,P,47.68315,-122.4004269,1/1/13,14:30:00,obsr341221,S12444344,2,0,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/20/13,15:50:00,obsr339663,S12671874,,,1,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1856423,P,47.6698058,-122.3913208,1/1/13,8:00:00,obsr349792,S12470759,2,,1,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/3/13,8:00:00,obsr250786,S12686182,15,0.805,1,1
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1835575,P,47.6800207,-122.4007836,1/3/13,15:00:00,obsr330265,S12938348,,,,0
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1835575,P,47.6800207,-122.4007836,1/5/13,15:00:00,obsr330265,S12938369,,,,0
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1835575,P,47.6800207,-122.4007836,1/4/13,15:00:00,obsr330265,S12938353,,,,0
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1835575,P,47.6800207,-122.4007836,1/10/13,15:00:00,obsr330265,S12938386,,,,0
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1835575,P,47.6800207,-122.4007836,1/1/13,15:00:00,obsr330265,S12938331,,,,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1867661,P,47.6818643,-122.4007514,1/4/13,15:00:00,obsr202756,S12497683,20,0,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1832556,P,47.6809309,-122.4010626,1/5/13,9:00:00,obsr231509,S12501034,10,,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1832556,P,47.6809309,-122.4010626,1/5/13,9:00:00,obsr287974,S12501020,10,,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1868385,P,47.683735,-122.400543,1/5/13,10:25:00,obsr322136,S12501541,10,0.805,1,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/15/13,,obsr354846,S12720352,,,2,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/15/13,,obsr354878,S12720353,,,2,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L4089386,P,47.6812399,-122.4010849,1/2/13,15:00:00,obsr430873,S26412574,15,,1,0
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1873204,P,47.6893579,-122.3923543,1/6/13,12:30:00,obsr322692,S12527816,20,,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1871446,P,47.6836209,-122.4005843,1/6/13,9:30:00,obsr146271,S12517252,15,,2,0
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1840265,P,47.6815188,-122.3998965,1/6/13,12:00:00,obsr140028,S12522574,30,0.805,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1872290,P,47.6836468,-122.4001184,1/6/13,12:30:00,obsr218595,S12522218,5,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1872672,P,47.6816968,-122.4028244,1/5/13,13:15:00,obsr242159,S12524105,10,0.402,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/27/13,14:00:00,obsr95541,S12743267,33,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1858438,P,47.6837289,-122.4007806,1/27/13,12:02:00,obsr124466,S12741054,9,,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/27/13,11:45:00,obsr107483,S12741742,10,0.161,2,1
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1850263,P,47.681841,-122.4002472,1/16/13,,obsr330265,S14223789,,,,1
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1850263,P,47.681841,-122.4002472,1/14/13,,obsr330265,S14223764,,,,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1875417,P,47.683093,-122.3998059,1/8/13,13:02:00,obsr351326,S12541373,20,,2,0
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1850263,P,47.681841,-122.4002472,1/15/13,,obsr330265,S14223774,,,,0
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1850263,P,47.681841,-122.4002472,1/18/13,,obsr330265,S14223793,,,,0
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1850263,P,47.681841,-122.4002472,1/10/13,,obsr330265,S14223733,,,,0
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1850263,P,47.681841,-122.4002472,1/11/13,,obsr330265,S14223736,,,,0
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1850263,P,47.681841,-122.4002472,1/20/13,,obsr330265,S14223798,,,,0
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1850263,P,47.681841,-122.4002472,1/12/13,,obsr330265,S14223741,,,,0
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1850263,P,47.681841,-122.4002472,1/22/13,,obsr330265,S14223804,,,,0
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1850263,P,47.681841,-122.4002472,1/13/13,,obsr330265,S14223754,,,,0
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1876935,P,47.68389,-122.40056,1/9/13,11:30:00,obsr115431,S12550445,60,0.483,3,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/10/13,11:46:00,obsr349493,S12559062,60,,3,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1876546,P,47.6852502,-122.4000648,1/9/13,10:20:00,obsr335121,S12548197,20,,2,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/12/13,15:00:00,obsr355769,S12763648,30,,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/29/13,16:45:00,obsr296388,S12765850,15,,1,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/13/13,15:15:00,obsr355769,S12763702,30,,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1836593,P,47.6816388,-122.3990885,1/12/13,11:30:00,obsr292809,S12574497,5,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/11/13,16:00:00,obsr235635,S12571508,15,,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/11/13,16:00:00,obsr159137,S12571455,15,,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/12/13,15:00:00,obsr431826,S15460688,30,,2,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/13/13,15:15:00,obsr431826,S15460689,30,,2,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1891202,P,47.6830771,-122.4002051,1/3/13,12:00:00,obsr314455,S21068822,30,,4,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/12/13,16:05:00,obsr302493,S12583411,,,1,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1883519,P,47.6865214,-122.4033907,1/12/13,,obsr129323,S12590295,,,,1
Snowy Owl,Bubo scandiacus,2,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/13/13,14:15:00,obsr18326,S12593771,,,2,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,1/12/13,16:30:00,obsr349792,S12581464,15,,2,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1885344,P,47.6838142,-122.4004713,1/8/13,16:00:00,obsr352973,S12602392,30,,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,2/23/13,17:10:00,obsr356620,S13176313,10,,2,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,2/16/13,17:00:00,obsr351561,S13357268,60,,3,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,2/22/13,17:30:00,obsr367576,S13153340,60,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,2/3/13,16:30:00,obsr169860,S12852849,45,,2,1
Snowy Owl,Bubo scandiacus,X,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,3/18/13,,obsr611434,S22832093,,,,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,3/3/13,16:15:00,obsr107483,S13320118,10,0.161,3,0
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,3/7/13,18:13:00,obsr50351,S13323820,25,,1,1
Snowy Owl,Bubo scandiacus,1,United States,US,Washington,US-WA,King,US-WA-033,5,L1855923,H,47.683891,-122.4005622,3/9/13,15:41:00,obsr326882,S13385388,130,,1,1